hour_of_year,timestamp,date,month,weekday,weekday_number,hour,equivalent_day,dtu_profile_value,load_mw,energy_mwh,cumulative_energy_mwh,source_method
13,2023-01-01 12:00:00,2023-01-01,1,Sunday,7,12,7,60.369796800000024,25.487356755012815,25.487356755012815,301.06940166858885,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
14,2023-01-01 13:00:00,2023-01-01,1,Sunday,7,13,7,59.11209270000003,24.95637015595005,24.95637015595005,326.0257718245389,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
15,2023-01-01 14:00:00,2023-01-01,1,Sunday,7,14,7,56.59668450000001,23.89439695782451,23.89439695782451,349.92016878236336,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
16,2023-01-01 15:00:00,2023-01-01,1,Sunday,7,15,7,56.59668450000001,23.89439695782451,23.89439695782451,373.81456574018785,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
17,2023-01-01 16:00:00,2023-01-01,1,Sunday,7,16,7,58.48324065000001,24.690876856418658,24.690876856418658,398.5054425966065,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
18,2023-01-01 17:00:00,2023-01-01,1,Sunday,7,17,7,60.369796800000024,25.487356755012815,25.487356755012815,423.9927993516193,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
19,2023-01-01 18:00:00,2023-01-01,1,Sunday,7,18,7,62.88520500000001,26.549329953138344,26.549329953138344,450.5421293047576,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
20,2023-01-01 19:00:00,2023-01-01,1,Sunday,7,19,7,62.88520500000001,26.549329953138344,26.549329953138344,477.09145925789596,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
21,2023-01-01 20:00:00,2023-01-01,1,Sunday,7,20,7,62.256352950000014,26.28383665360696,26.28383665360696,503.3752959115029,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
22,2023-01-01 21:00:00,2023-01-01,1,Sunday,7,21,7,59.11209270000003,24.95637015595005,24.95637015595005,528.3316660674529,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
23,2023-01-01 22:00:00,2023-01-01,1,Sunday,7,22,7,52.823572200000015,22.301437160636212,22.301437160636212,550.6331032280891,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
24,2023-01-01 23:00:00,2023-01-01,1,Sunday,7,23,7,52.194720150000016,22.03594386110483,22.03594386110483,572.6690470891939,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
25,2023-01-02 00:00:00,2023-01-02,1,Monday,1,0,1,71.25288,30.082055409239295,30.082055409239295,602.7511024984332,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
26,2023-01-02 01:00:00,2023-01-02,1,Monday,1,1,1,66.799575,28.201926946161837,28.201926946161837,630.953029444595,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
27,2023-01-02 02:00:00,2023-01-02,1,Monday,1,2,1,69.471558,29.330004024008307,29.330004024008307,660.2830334686033,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
28,2023-01-02 03:00:00,2023-01-02,1,Monday,1,3,1,71.25288,30.082055409239295,30.082055409239295,690.3650888778426,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
29,2023-01-02 04:00:00,2023-01-02,1,Monday,1,4,1,73.924863,31.210132487085765,31.210132487085765,721.5752213649283,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
30,2023-01-02 05:00:00,2023-01-02,1,Monday,1,5,1,76.59684600000001,32.33820956493224,32.33820956493224,753.9134309298606,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
31,2023-01-02 06:00:00,2023-01-02,1,Monday,1,6,1,79.268829,33.46628664277871,33.46628664277871,787.3797175726394,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
32,2023-01-02 07:00:00,2023-01-02,1,Monday,1,7,1,80.15949,33.842312335394205,33.842312335394205,821.2220299080336,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
33,2023-01-02 08:00:00,2023-01-02,1,Monday,1,8,1,81.94081200000001,34.59436372062519,34.59436372062519,855.8163936286588,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
34,2023-01-02 09:00:00,2023-01-02,1,Monday,1,9,1,84.612795,35.72244079847166,35.72244079847166,891.5388344271305,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
35,2023-01-02 10:00:00,2023-01-02,1,Monday,1,10,1,83.72213400000001,35.346415105856174,35.346415105856174,926.8852495329867,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
36,2023-01-02 11:00:00,2023-01-02,1,Monday,1,11,1,85.503456,36.09846649108715,36.09846649108715,962.9837160240738,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
37,2023-01-02 12:00:00,2023-01-02,1,Monday,1,12,1,85.503456,36.09846649108715,36.09846649108715,999.082182515161,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
38,2023-01-02 13:00:00,2023-01-02,1,Monday,1,13,1,83.72213400000001,35.346415105856174,35.346415105856174,1034.4285976210172,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
39,2023-01-02 14:00:00,2023-01-02,1,Monday,1,14,1,80.15949,33.842312335394205,33.842312335394205,1068.2709099564113,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
40,2023-01-02 15:00:00,2023-01-02,1,Monday,1,15,1,80.15949,33.842312335394205,33.842312335394205,1102.1132222918054,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
41,2023-01-02 16:00:00,2023-01-02,1,Monday,1,16,1,82.83147300000002,34.97038941324068,34.97038941324068,1137.083611705046,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
42,2023-01-02 17:00:00,2023-01-02,1,Monday,1,17,1,85.503456,36.09846649108715,36.09846649108715,1173.1820781961333,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
43,2023-01-02 18:00:00,2023-01-02,1,Monday,1,18,1,89.0661,37.602569261549114,37.602569261549114,1210.7846474576825,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
44,2023-01-02 19:00:00,2023-01-02,1,Monday,1,19,1,89.0661,37.602569261549114,37.602569261549114,1248.3872167192317,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
45,2023-01-02 20:00:00,2023-01-02,1,Monday,1,20,1,88.175439,37.22654356893362,37.22654356893362,1285.6137602881654,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
46,2023-01-02 21:00:00,2023-01-02,1,Monday,1,21,1,83.72213400000001,35.346415105856174,35.346415105856174,1320.9601753940215,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
47,2023-01-02 22:00:00,2023-01-02,1,Monday,1,22,1,74.815524,31.586158179701254,31.586158179701254,1352.5463335737227,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
48,2023-01-02 23:00:00,2023-01-02,1,Monday,1,23,1,73.924863,31.210132487085765,31.210132487085765,1383.7564660608084,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
49,2023-01-03 00:00:00,2023-01-03,1,Tuesday,2,0,2,74.20284000000001,31.327490824271496,31.327490824271496,1415.08395688508,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
50,2023-01-03 01:00:00,2023-01-03,1,Tuesday,2,1,2,69.56516250000001,29.36952264775453,29.36952264775453,1444.4534795328345,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
51,2023-01-03 02:00:00,2023-01-03,1,Tuesday,2,2,2,72.347769,30.5443035536647,30.5443035536647,1474.9977830864993,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
52,2023-01-03 03:00:00,2023-01-03,1,Tuesday,2,3,2,74.20284000000001,31.327490824271496,31.327490824271496,1506.3252739107709,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
53,2023-01-03 04:00:00,2023-01-03,1,Tuesday,2,4,2,76.98544650000001,32.502271730181675,32.502271730181675,1538.8275456409526,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
54,2023-01-03 05:00:00,2023-01-03,1,Tuesday,2,5,2,79.76805300000001,33.67705263609186,33.67705263609186,1572.5045982770446,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
55,2023-01-03 06:00:00,2023-01-03,1,Tuesday,2,6,2,82.55065950000001,34.85183354200204,34.85183354200204,1607.3564318190465,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
56,2023-01-03 07:00:00,2023-01-03,1,Tuesday,2,7,2,83.47819500000001,35.243427177305435,35.243427177305435,1642.599858996352,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
57,2023-01-03 08:00:00,2023-01-03,1,Tuesday,2,8,2,85.33326600000001,36.02661444791222,36.02661444791222,1678.626473444264,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
58,2023-01-03 09:00:00,2023-01-03,1,Tuesday,2,9,2,88.11587250000001,37.2013953538224,37.2013953538224,1715.8278687980865,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
59,2023-01-03 10:00:00,2023-01-03,1,Tuesday,2,10,2,87.188337,36.809801718519005,36.809801718519005,1752.6376705166056,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
60,2023-01-03 11:00:00,2023-01-03,1,Tuesday,2,11,2,89.04340800000001,37.59298898912579,37.59298898912579,1790.2306595057314,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
61,2023-01-03 12:00:00,2023-01-03,1,Tuesday,2,12,2,89.04340800000001,37.59298898912579,37.59298898912579,1827.8236484948573,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
62,2023-01-03 13:00:00,2023-01-03,1,Tuesday,2,13,2,87.188337,36.809801718519005,36.809801718519005,1864.6334502133764,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
63,2023-01-03 14:00:00,2023-01-03,1,Tuesday,2,14,2,83.47819500000001,35.243427177305435,35.243427177305435,1899.8768773906818,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
64,2023-01-03 15:00:00,2023-01-03,1,Tuesday,2,15,2,83.47819500000001,35.243427177305435,35.243427177305435,1935.1203045679872,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
65,2023-01-03 16:00:00,2023-01-03,1,Tuesday,2,16,2,86.26080150000001,36.41820808321561,36.41820808321561,1971.5385126512028,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
66,2023-01-03 17:00:00,2023-01-03,1,Tuesday,2,17,2,89.04340800000001,37.59298898912579,37.59298898912579,2009.1315016403287,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
67,2023-01-03 18:00:00,2023-01-03,1,Tuesday,2,18,2,92.75355000000002,39.15936353033937,39.15936353033937,2048.290865170668,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
68,2023-01-03 19:00:00,2023-01-03,1,Tuesday,2,19,2,92.75355000000002,39.15936353033937,39.15936353033937,2087.4502287010073,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
69,2023-01-03 20:00:00,2023-01-03,1,Tuesday,2,20,2,91.82601450000001,38.767769895035975,38.767769895035975,2126.2179985960433,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
70,2023-01-03 21:00:00,2023-01-03,1,Tuesday,2,21,2,87.188337,36.809801718519005,36.809801718519005,2163.0278003145622,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
71,2023-01-03 22:00:00,2023-01-03,1,Tuesday,2,22,2,77.912982,32.89386536548506,32.89386536548506,2195.921665680047,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
72,2023-01-03 23:00:00,2023-01-03,1,Tuesday,2,23,2,76.98544650000001,32.502271730181675,32.502271730181675,2228.423937410229,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
73,2023-01-04 00:00:00,2023-01-04,1,Wednesday,3,0,3,72.31184000000002,30.529134788994448,30.529134788994448,2258.9530721992232,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
74,2023-01-04 01:00:00,2023-01-04,1,Wednesday,3,1,3,67.79235000000001,28.62106386468229,28.62106386468229,2287.5741360639054,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
75,2023-01-04 02:00:00,2023-01-04,1,Wednesday,3,2,3,70.50404400000001,29.765906419269584,29.765906419269584,2317.340042483175,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
76,2023-01-04 03:00:00,2023-01-04,1,Wednesday,3,3,3,72.31184000000002,30.529134788994448,30.529134788994448,2347.869177272169,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
77,2023-01-04 04:00:00,2023-01-04,1,Wednesday,3,4,3,75.02353400000001,31.673977343581736,31.673977343581736,2379.5431546157506,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
78,2023-01-04 05:00:00,2023-01-04,1,Wednesday,3,5,3,77.73522800000002,32.81881989816903,32.81881989816903,2412.3619745139194,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
79,2023-01-04 06:00:00,2023-01-04,1,Wednesday,3,6,3,80.44692200000001,33.963662452756324,33.963662452756324,2446.3256369666756,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
80,2023-01-04 07:00:00,2023-01-04,1,Wednesday,3,7,3,81.35082000000001,34.34527663761875,34.34527663761875,2480.670913604294,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
81,2023-01-04 08:00:00,2023-01-04,1,Wednesday,3,8,3,83.15861600000001,35.10850500734361,35.10850500734361,2515.7794186116375,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
82,2023-01-04 09:00:00,2023-01-04,1,Wednesday,3,9,3,85.87031,36.253347561930894,36.253347561930894,2552.0327661735682,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
83,2023-01-04 10:00:00,2023-01-04,1,Wednesday,3,10,3,84.966412,35.871733377068466,35.871733377068466,2587.9044995506365,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
84,2023-01-04 11:00:00,2023-01-04,1,Wednesday,3,11,3,86.774208,36.63496174679333,36.63496174679333,2624.5394612974296,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
85,2023-01-04 12:00:00,2023-01-04,1,Wednesday,3,12,3,86.774208,36.63496174679333,36.63496174679333,2661.1744230442227,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
86,2023-01-04 13:00:00,2023-01-04,1,Wednesday,3,13,3,84.966412,35.871733377068466,35.871733377068466,2697.046156421291,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
87,2023-01-04 14:00:00,2023-01-04,1,Wednesday,3,14,3,81.35082000000001,34.34527663761875,34.34527663761875,2731.3914330589096,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
88,2023-01-04 15:00:00,2023-01-04,1,Wednesday,3,15,3,81.35082000000001,34.34527663761875,34.34527663761875,2765.736709696528,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
89,2023-01-04 16:00:00,2023-01-04,1,Wednesday,3,16,3,84.06251400000001,35.49011919220604,35.49011919220604,2801.226828888734,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
90,2023-01-04 17:00:00,2023-01-04,1,Wednesday,3,17,3,86.774208,36.63496174679333,36.63496174679333,2837.861790635527,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
91,2023-01-04 18:00:00,2023-01-04,1,Wednesday,3,18,3,90.38980000000001,38.16141848624306,38.16141848624306,2876.02320912177,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
92,2023-01-04 19:00:00,2023-01-04,1,Wednesday,3,19,3,90.38980000000001,38.16141848624306,38.16141848624306,2914.1846276080128,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
93,2023-01-04 20:00:00,2023-01-04,1,Wednesday,3,20,3,89.48590200000001,37.77980430138062,37.77980430138062,2951.964431909393,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
94,2023-01-04 21:00:00,2023-01-04,1,Wednesday,3,21,3,84.966412,35.871733377068466,35.871733377068466,2987.8361652864614,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
95,2023-01-04 22:00:00,2023-01-04,1,Wednesday,3,22,3,75.92743200000001,32.05559152844417,32.05559152844417,3019.8917568149054,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
96,2023-01-04 23:00:00,2023-01-04,1,Wednesday,3,23,3,75.02353400000001,31.673977343581736,31.673977343581736,3051.565734158487,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
97,2023-01-05 00:00:00,2023-01-05,1,Thursday,4,0,4,75.64000000000001,31.934241411082056,31.934241411082056,3083.499975569569,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
98,2023-01-05 01:00:00,2023-01-05,1,Thursday,4,1,4,70.91250000000001,29.938351322889424,29.938351322889424,3113.4383268924585,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
99,2023-01-05 02:00:00,2023-01-05,1,Thursday,4,2,4,73.74900000000001,31.135885375805,31.135885375805,3144.5742122682636,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
100,2023-01-05 03:00:00,2023-01-05,1,Thursday,4,3,4,75.64000000000001,31.934241411082056,31.934241411082056,3176.5084536793456,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
101,2023-01-05 04:00:00,2023-01-05,1,Thursday,4,4,4,78.47650000000002,33.131775463997634,33.131775463997634,3209.6402291433433,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
102,2023-01-05 05:00:00,2023-01-05,1,Thursday,4,5,4,81.31300000000002,34.329309516913206,34.329309516913206,3243.9695386602566,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
103,2023-01-05 06:00:00,2023-01-05,1,Thursday,4,6,4,84.14950000000002,35.526843569828785,35.526843569828785,3279.4963822300856,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
104,2023-01-05 07:00:00,2023-01-05,1,Thursday,4,7,4,85.09500000000001,35.92602158746731,35.92602158746731,3315.422403817553,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
105,2023-01-05 08:00:00,2023-01-05,1,Thursday,4,8,4,86.98600000000002,36.72437762274437,36.72437762274437,3352.146781440297,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
106,2023-01-05 09:00:00,2023-01-05,1,Thursday,4,9,4,89.8225,37.921911675659935,37.921911675659935,3390.068693115957,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
107,2023-01-05 10:00:00,2023-01-05,1,Thursday,4,10,4,88.87700000000001,37.52273365802141,37.52273365802141,3427.5914267739786,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
108,2023-01-05 11:00:00,2023-01-05,1,Thursday,4,11,4,90.76800000000003,38.32108969329847,38.32108969329847,3465.912516467277,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
109,2023-01-05 12:00:00,2023-01-05,1,Thursday,4,12,4,90.76800000000003,38.32108969329847,38.32108969329847,3504.233606160575,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
110,2023-01-05 13:00:00,2023-01-05,1,Thursday,4,13,4,88.87700000000001,37.52273365802141,37.52273365802141,3541.7563398185966,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
111,2023-01-05 14:00:00,2023-01-05,1,Thursday,4,14,4,85.09500000000001,35.92602158746731,35.92602158746731,3577.682361406064,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
112,2023-01-05 15:00:00,2023-01-05,1,Thursday,4,15,4,85.09500000000001,35.92602158746731,35.92602158746731,3613.6083829935314,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
113,2023-01-05 16:00:00,2023-01-05,1,Thursday,4,16,4,87.93150000000001,37.12355564038289,37.12355564038289,3650.7319386339145,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
114,2023-01-05 17:00:00,2023-01-05,1,Thursday,4,17,4,90.76800000000003,38.32108969329847,38.32108969329847,3689.053028327213,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
115,2023-01-05 18:00:00,2023-01-05,1,Thursday,4,18,4,94.55000000000003,39.91780176385257,39.91780176385257,3728.970830091065,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
116,2023-01-05 19:00:00,2023-01-05,1,Thursday,4,19,4,94.55000000000003,39.91780176385257,39.91780176385257,3768.8886318549175,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
117,2023-01-05 20:00:00,2023-01-05,1,Thursday,4,20,4,93.60450000000003,39.518623746214054,39.518623746214054,3808.4072556011315,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
118,2023-01-05 21:00:00,2023-01-05,1,Thursday,4,21,4,88.87700000000001,37.52273365802141,37.52273365802141,3845.929989259153,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
119,2023-01-05 22:00:00,2023-01-05,1,Thursday,4,22,4,79.42200000000001,33.53095348163616,33.53095348163616,3879.460942740789,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
120,2023-01-05 23:00:00,2023-01-05,1,Thursday,4,23,4,78.47650000000002,33.131775463997634,33.131775463997634,3912.5927182047867,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
121,2023-01-06 00:00:00,2023-01-06,1,Friday,5,0,5,73.74900000000001,31.135885375805,31.135885375805,3943.728603580592,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
